17/03/20 23:51:22 INFO gcs.GoogleHadoopFileSystemBase: GHFS version: 1.6.0-hadoop2
17/03/20 23:51:23 INFO client.RMProxy: Connecting to ResourceManager at invertedindex-m/10.138.0.4:8032
17/03/20 23:51:24 WARN mapreduce.JobResourceUploader: Hadoop command-line option parsing not performed. Implement the Tool interface and execute your application with ToolRunner to remedy this.
17/03/20 23:51:25 WARN gcsio.GoogleCloudStorage: Repairing batch of 1 missing directories.
17/03/20 23:51:26 WARN gcsio.GoogleCloudStorage: Successfully repaired 1/1 implicit directories.
17/03/20 23:51:27 INFO input.FileInputFormat: Total input paths to process : 3036
17/03/20 23:51:28 INFO mapreduce.JobSubmitter: number of splits:3036
17/03/20 23:51:28 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1490038588730_0004
17/03/20 23:51:28 INFO impl.YarnClientImpl: Submitted application application_1490038588730_0004
17/03/20 23:51:28 INFO mapreduce.Job: The url to track the job: http://invertedindex-m:8088/proxy/application_1490038588730_0004/
17/03/21 02:47:43 INFO mapreduce.Job:  map 100% reduce 25%
17/03/21 02:47:45 INFO mapreduce.Job:  map 100% reduce 26%
17/03/21 02:47:46 INFO mapreduce.Job:  map 100% reduce 27%
17/03/21 02:47:51 INFO mapreduce.Job:  map 100% reduce 28%
17/03/21 02:47:54 INFO mapreduce.Job:  map 100% reduce 29%
17/03/21 02:47:57 INFO mapreduce.Job:  map 100% reduce 30%
17/03/21 02:47:58 INFO mapreduce.Job:  map 100% reduce 31%
17/03/21 02:48:01 INFO mapreduce.Job:  map 100% reduce 32%
17/03/21 02:48:10 INFO mapreduce.Job:  map 100% reduce 33%
17/03/21 02:48:13 INFO mapreduce.Job:  map 100% reduce 36%
17/03/21 02:48:16 INFO mapreduce.Job:  map 100% reduce 37%
17/03/21 02:48:22 INFO mapreduce.Job:  map 100% reduce 38%
17/03/21 02:48:27 INFO mapreduce.Job:  map 100% reduce 41%
17/03/21 02:48:28 INFO mapreduce.Job:  map 100% reduce 42%
17/03/21 02:48:30 INFO mapreduce.Job:  map 100% reduce 43%
17/03/21 02:48:33 INFO mapreduce.Job:  map 100% reduce 44%
17/03/21 02:48:36 INFO mapreduce.Job:  map 100% reduce 45%
17/03/21 02:48:39 INFO mapreduce.Job:  map 100% reduce 46%
17/03/21 02:48:42 INFO mapreduce.Job:  map 100% reduce 47%
17/03/21 02:48:45 INFO mapreduce.Job:  map 100% reduce 48%
17/03/21 02:48:48 INFO mapreduce.Job:  map 100% reduce 49%
17/03/21 02:48:52 INFO mapreduce.Job:  map 100% reduce 50%
17/03/21 02:49:03 INFO mapreduce.Job:  map 100% reduce 53%
17/03/21 02:49:06 INFO mapreduce.Job:  map 100% reduce 54%
17/03/21 02:49:08 INFO mapreduce.Job:  map 100% reduce 58%
17/03/21 02:49:09 INFO mapreduce.Job:  map 100% reduce 59%
17/03/21 02:49:11 INFO mapreduce.Job:  map 100% reduce 60%
17/03/21 02:49:14 INFO mapreduce.Job:  map 100% reduce 61%
17/03/21 02:49:15 INFO mapreduce.Job:  map 100% reduce 62%
17/03/21 02:49:18 INFO mapreduce.Job:  map 100% reduce 63%
17/03/21 02:49:20 INFO mapreduce.Job:  map 100% reduce 64%
17/03/21 02:49:21 INFO mapreduce.Job:  map 100% reduce 65%
17/03/21 02:49:23 INFO mapreduce.Job:  map 100% reduce 66%
17/03/21 02:49:26 INFO mapreduce.Job:  map 100% reduce 67%
17/03/21 02:49:35 INFO mapreduce.Job:  map 100% reduce 69%
17/03/21 02:49:38 INFO mapreduce.Job:  map 100% reduce 73%
17/03/21 02:49:41 INFO mapreduce.Job:  map 100% reduce 75%
17/03/21 02:49:44 INFO mapreduce.Job:  map 100% reduce 77%
17/03/21 02:49:47 INFO mapreduce.Job:  map 100% reduce 78%
17/03/21 02:49:50 INFO mapreduce.Job:  map 100% reduce 79%
