17/03/20 19:49:10 INFO gcs.GoogleHadoopFileSystemBase: GHFS version: 1.6.0-hadoop2
17/03/20 19:49:11 INFO client.RMProxy: Connecting to ResourceManager at invertedindex-m/10.138.0.4:8032
17/03/20 19:49:12 WARN mapreduce.JobResourceUploader: Hadoop command-line option parsing not performed. Implement the Tool interface and execute your application with ToolRunner to remedy this.
17/03/20 19:49:13 WARN gcsio.GoogleCloudStorage: Repairing batch of 1 missing directories.
17/03/20 19:49:14 WARN gcsio.GoogleCloudStorage: Successfully repaired 1/1 implicit directories.
17/03/20 19:49:16 INFO input.FileInputFormat: Total input paths to process : 3036
17/03/20 19:49:16 INFO mapreduce.JobSubmitter: number of splits:3036
17/03/20 19:49:16 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1490038588730_0003
17/03/20 19:49:17 INFO impl.YarnClientImpl: Submitted application application_1490038588730_0003
17/03/20 19:49:17 INFO mapreduce.Job: The url to track the job: http://invertedindex-m:8088/proxy/application_1490038588730_0003/
17/03/20 19:49:17 INFO mapreduce.Job: Running job: job_1490038588730_0003
17/03/20 19:49:28 INFO mapreduce.Job: Job job_1490038588730_0003 running in uber mode : false
17/03/20 22:46:10 INFO mapreduce.Job:  map 100% reduce 62%
17/03/20 22:46:13 INFO mapreduce.Job:  map 100% reduce 63%
17/03/20 22:46:16 INFO mapreduce.Job:  map 100% reduce 64%
17/03/20 22:46:18 INFO mapreduce.Job:  map 100% reduce 67%
17/03/20 22:46:21 INFO mapreduce.Job:  map 100% reduce 68%
17/03/20 22:46:24 INFO mapreduce.Job:  map 100% reduce 69%
17/03/20 22:46:25 INFO mapreduce.Job:  map 100% reduce 70%
17/03/20 22:46:28 INFO mapreduce.Job:  map 100% reduce 71%
17/03/20 22:46:30 INFO mapreduce.Job:  map 100% reduce 72%
17/03/20 22:46:33 INFO mapreduce.Job:  map 100% reduce 73%
17/03/20 22:46:39 INFO mapreduce.Job:  map 100% reduce 74%
17/03/20 22:46:42 INFO mapreduce.Job:  map 100% reduce 77%
17/03/20 22:46:45 INFO mapreduce.Job:  map 100% reduce 79%
17/03/20 22:46:48 INFO mapreduce.Job:  map 100% reduce 81%
17/03/20 22:46:54 INFO mapreduce.Job:  map 100% reduce 82%
17/03/20 22:46:57 INFO mapreduce.Job:  map 100% reduce 83%
17/03/20 22:47:01 INFO mapreduce.Job:  map 100% reduce 86%
17/03/20 22:47:04 INFO mapreduce.Job:  map 100% reduce 88%
17/03/20 22:47:07 INFO mapreduce.Job:  map 100% reduce 89%
17/03/20 22:47:10 INFO mapreduce.Job:  map 100% reduce 93%
17/03/20 22:47:13 INFO mapreduce.Job:  map 100% reduce 94%
17/03/20 22:47:16 INFO mapreduce.Job:  map 100% reduce 95%
17/03/20 22:47:17 INFO mapreduce.Job:  map 100% reduce 96%
17/03/20 22:47:19 INFO mapreduce.Job:  map 100% reduce 97%
17/03/20 22:47:23 INFO mapreduce.Job:  map 100% reduce 98%
17/03/20 22:47:26 INFO mapreduce.Job:  map 100% reduce 99%
17/03/20 22:47:29 INFO mapreduce.Job:  map 100% reduce 100%
17/03/20 22:47:36 INFO mapreduce.Job: Job job_1490038588730_0003 completed successfully
17/03/20 22:47:36 INFO mapreduce.Job: Counters: 56
File System Counters
                FILE: Number of bytes read=3421568890
                FILE: Number of bytes written=7218697288
                FILE: Number of read operations=0
                FILE: Number of large read operations=0
                FILE: Number of write operations=0
                GS: Number of bytes read=1141569921
                GS: Number of bytes written=236350708
                GS: Number of read operations=0
                GS: Number of large read operations=0
                GS: Number of write operations=0
                HDFS: Number of bytes read=467217
                HDFS: Number of bytes written=0
                HDFS: Number of read operations=3036
                HDFS: Number of large read operations=0
                HDFS: Number of write operations=0
        Job Counters 
                Killed map tasks=1
                Killed reduce tasks=1
                Launched map tasks=3036
                Launched reduce tasks=13
                Rack-local map tasks=3036
                Total time spent by all maps in occupied slots (ms)=157812612
                Total time spent by all reduces in occupied slots (ms)=87395256
                Total time spent by all map tasks (ms)=26302102
                Total time spent by all reduce tasks (ms)=7282938
                Total vcore-milliseconds taken by all map tasks=26302102
                Total vcore-milliseconds taken by all reduce tasks=14565876
                Total megabyte-milliseconds taken by all map tasks=80800057344
                Total megabyte-milliseconds taken by all reduce tasks=44746371072
        Map-Reduce Framework
                Map input records=25104
                Map output records=210715204
                Map output bytes=3000138381
                Map output materialized bytes=3421787410
                Input split bytes=467217
                Combine input records=0
                Combine output records=0
                Reduce input groups=1217641
                Reduce shuffle bytes=3421787410
                Reduce input records=210715204
                Reduce output records=1217641
                Spilled Records=421430408
                Shuffled Maps =36432
                Failed Shuffles=0
                Merged Map outputs=36432
                GC time elapsed (ms)=502951
                CPU time spent (ms)=6591430
                Physical memory (bytes) snapshot=985679769600
		Virtual memory (bytes) snapshot=13412334456832
                Total committed heap usage (bytes)=827642609664
        Shuffle Errors
                BAD_ID=0
                CONNECTION=0
                IO_ERROR=0
                WRONG_LENGTH=0
                WRONG_MAP=0
                WRONG_REDUCE=0
        File Input Format Counters 
                Bytes Read=1141569921
        File Output Format Counters 
                Bytes Written=236350708
