14	65600173:1 
south	73237430:1 65600173:1 99975791:1 
spacious	99975791:1 
spain	51918182:1 99975791:1 
spark	73477705:1 
speakthe	65600173:1 
splendor	99975791:1 
spoil	65600173:1 
spots	65600173:2 
stamping	65600173:1 
stars	65600173:1 99975791:1 
state	73477705:5 73237430:1 65600173:22 99975791:3 
stations	65600173:1 51918182:1 
stiffly	73237430:1 
stile	73477705:1 
stolen	99975791:1 
stolidity	99975791:1 
store	65600173:2 51918182:1 99975791:1 
stout	73237430:1 51918182:1 
straightway	73477705:1 65600173:1 
strangest	73477705:2 99975791:1 
stray	65600173:1 
study	73477705:1 73237430:1 65600173:9 
stumpylooking	65600173:1 
stupefaction	99975791:1 
substituting	65600173:1 
subterfuges	73477705:1 
sudden	73477705:3 51918182:1 99975791:4 
suffrage	65600173:1 
suggestiveness	65600173:1 
sundaya	65600173:1 
sunk	99975791:1 
superabundantly	65600173:1 
supply	73237430:1 65600173:2 
supreme	73477705:1 65600173:1 
surface	73477705:1 73237430:1 65600173:7 99975791:1 
surrounds	65600173:1 
sweetand	99975791:1 
sweeten	65600173:1 
sweetly	65600173:1 
swell	65600173:1 
swept	73477705:1 51918182:1 99975791:1 
swiss	73477705:1 73237430:1 
symonds	65600173:1 
sympathetic	65600173:3 
symptom	73477705:3 99975791:1 
synthetic	65600173:1 
tacit	73237430:1 
tailor	65600173:2 
temperate	73237430:1 
tenants	65600173:1 
terrible	65600173:4 51918182:2 
testified	73237430:1 
themto	65600173:1 
theres	73477705:5 99975791:2 
theyre	73477705:3 
thought	73477705:23 65600173:23 73237430:13 51918182:15 99975791:48 
threads	65600173:2 
thud	73477705:1 
to	73477705:607 73237430:233 65600173:1480 51918182:254 99975791:833 
today	65600173:7 99975791:5 51918182:1 
token	65600173:1 51918182:1 
tonight	99975791:2 
torment	73237430:2 
totally	65600173:1 73237430:1 
touching	65600173:15 51918182:2 99975791:1 
touristwhich	65600173:1 
toward	73477705:3 65600173:5 99975791:4 51918182:4 
townschools	65600173:1 
trace	73237430:1 65600173:2 99975791:1 
traffic	73477705:1 65600173:1 
transcendentalism	65600173:5 
transcendentalists	65600173:3 
tresses	99975791:1 
trickling	51918182:1 
trottoir	51918182:1 
trousers	73237430:2 65600173:1 99975791:1 
trudge	65600173:1 
trying	73477705:1 65600173:6 99975791:3 
twenties	99975791:1 
twentythree	51918182:1 
twisting	73477705:1 
ugly	73477705:3 51918182:1 99975791:1 
uncomfortable	65600173:2 99975791:2 51918182:2 
unconditional	73477705:1 
undecipherable	73237430:1 
undisturbed	51918182:1 
unfinished	65600173:2 51918182:1 
unhumorous	65600173:1 
unlimited	65600173:1 
unnaturally	65600173:1 
unparalleled	99975791:1 
unselfish	99975791:2 
unsophisticated	73237430:1 65600173:2 
unsubstantial	65600173:2 
upso	99975791:1 
upstairsas	73237430:1 
uspeculiarities	51918182:1 
usthen	65600173:1 
uttered	73477705:1 65600173:4 99975791:2 51918182:1 
vaguely	73477705:2 65600173:2 51918182:2 99975791:1 
vagueminded	65600173:1 
vegetable	65600173:1 
verona	65600173:1 
vicar	65600173:1 
violation	65600173:1 
visage	65600173:1 
vista	65600173:1 99975791:2 
vividness	65600173:1 
vocal	99975791:1 
voicei	51918182:1 
volumes	73237430:2 65600173:17 
vous	73477705:1 
voyage	51918182:1 99975791:1 
vulgar	73477705:2 65600173:9 73237430:4 99975791:1 51918182:3 
vulgarize	65600173:1 
waiting	73477705:2 65600173:3 99975791:12 51918182:2 
warrant	73477705:1 65600173:3 51918182:1 
watching	73477705:1 65600173:3 99975791:2 51918182:1 
weakening	65600173:1 
wear	73477705:5 65600173:1 99975791:1 
weariness	65600173:2 
weighingprocess	65600173:1 
weimar	65600173:1 
weird	65600173:1 
welltested	65600173:1 
westward	99975791:1 
whereabouts	73477705:1 
whig	65600173:1 
white	73477705:1 65600173:4 51918182:8 99975791:4 
whittiers	65600173:1 
whom	73477705:15 73237430:4 65600173:43 51918182:4 99975791:18 
wide	73477705:2 65600173:3 51918182:2 
widelyseeing	65600173:1 
